ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
278,0,0,3,0,-3
279,0,0,0,0,0
280,1,1,126,1643,1517
281,1,0,1,0,-1
282,0,0,28,0,-28
283,0,0,13,0,-13
284,1,1,527,1274,747
285,0,0,5,0,-5
286,1,1,62,3127,3065
287,1,0,65,0,-65
288,0,0,22,0,-22
289,1,1,66,2981,2915
290,0,0,31,0,-31
291,0,0,35,0,-35
292,1,0,34,0,-34
293,0,0,24,0,-24
294,0,0,37,0,-37
295,1,1,210,1247,1037
296,1,1,337,1721,1384
297,0,0,8,0,-8
298,0,0,115,0,-115
299,0,0,56,0,-56
300,1,0,21,0,-21
301,1,1,545,1577,1032
302,0,0,74,0,-74
303,0,0,18,0,-18
304,1,1,94,1200,1106
305,0,0,29,0,-29
306,0,0,0,0,0
307,1,1,1596,2130,534
308,1,1,92,1288,1196
309,0,0,168,0,-168
310,1,0,25,0,-25
311,1,1,432,1319,887
312,0,0,42,0,-42
313,0,0,14,0,-14
314,0,0,7,0,-7
315,1,0,13,0,-13
316,0,0,16,0,-16
317,1,0,66,0,-66
318,1,0,5,0,-5
319,1,0,6,0,-6
320,1,0,8,0,-8
321,1,0,12,0,-12
322,0,0,30,0,-30
323,0,0,94,0,-94
324,1,1,234,1203,969
325,0,0,23,0,-23
326,0,0,126,0,-126
327,1,0,64,0,-64
328,0,0,24,0,-24
329,1,1,359,1311,952
330,1,0,10,0,-10
331,1,1,41,1214,1173
332,1,0,6,0,-6
333,1,0,56,0,-56
334,0,0,20,0,-20
335,1,0,28,0,-28
336,1,1,267,1336,1069
337,0,0,0,0,0
338,1,0,10,0,-10
339,0,0,125,0,-125
340,1,1,119,1338,1219
341,1,1,287,1710,1423
342,1,0,10,0,-10
343,0,0,28,0,-28
344,0,0,34,0,-34
345,0,0,43,0,-43
346,1,1,119,1327,1208
347,0,0,100,0,-100
348,0,0,34,0,-34
349,0,0,62,0,-62
350,0,0,151,0,-151
351,0,0,58,0,-58
352,0,0,5,0,-5
353,1,0,2,0,-2
354,0,0,39,0,-39
355,1,1,380,1733,1353
356,1,1,897,1210,313
357,1,1,790,1628,838
358,1,0,142,0,-142
359,1,1,288,1552,1264
360,0,0,45,0,-45
361,1,0,22,0,-22
362,1,1,173,1355,1182
363,1,1,315,1377,1062
364,1,1,409,1343,934
365,1,1,3568,1752,-1816
366,1,1,77,1241,1164
367,1,0,27,0,-27
368,1,0,147,0,-147
369,0,0,2,0,-2
370,1,1,713,1223,510
371,0,0,7,0,-7
372,0,0,29,0,-29
373,0,0,46,0,-46
374,1,0,6,0,-6
375,1,1,47,2001,1954
376,0,0,20,0,-20
377,1,0,5,0,-5
378,0,0,24,0,-24
379,1,0,5,0,-5
380,1,0,21,0,-21
381,0,0,135,0,-135
382,0,0,31,0,-31
383,1,0,25,0,-25
384,0,0,36,0,-36
385,1,0,69,0,-69
386,0,0,40,0,-40
387,1,1,32,1851,1819
388,1,0,40,0,-40
389,0,0,17,0,-17
390,0,0,3,0,-3
391,1,1,911,1311,400
392,1,0,13,0,-13
393,0,0,32,0,-32
394,1,1,652,1296,644
395,1,0,51,0,-51
396,1,1,371,1738,1367
397,1,0,27,0,-27
398,1,1,625,1406,781
399,1,1,625,1566,941
400,1,1,906,1803,897
401,0,0,18,0,-18
402,1,1,167,1981,1814
403,1,1,339,1313,974
404,1,1,213,1306,1093
405,1,0,42,0,-42
406,0,0,117,0,-117
407,1,0,122,0,-122
408,1,1,285,1401,1116
409,0,0,87,0,-87
410,1,1,131,1902,1771
411,0,0,9,0,-9
412,0,0,53,0,-53
413,1,1,403,1532,1129
414,0,0,16,0,-16
415,1,1,1854,1387,-467
416,1,1,362,1346,984
417,1,0,7,0,-7
418,1,0,55,0,-55
419,0,0,22,0,-22
420,1,0,43,0,-43
421,1,0,26,0,-26
422,1,1,245,1203,958
423,0,0,32,0,-32
424,0,0,35,0,-35
425,0,0,99,0,-99
426,1,0,20,0,-20
427,0,0,305,0,-305
428,1,0,11,0,-11
429,1,1,41,1683,1642
430,0,0,90,0,-90
431,1,1,338,1541,1203
432,1,1,1070,1254,184
433,0,0,63,0,-63
434,1,0,18,0,-18
435,0,0,17,0,-17
436,1,0,7,0,-7
437,0,0,55,0,-55
438,0,0,5,0,-5
439,1,0,53,0,-53
440,1,1,1318,1203,-115
441,1,0,23,0,-23
442,1,0,34,0,-34
443,0,0,43,0,-43
444,1,0,20,0,-20
445,1,1,178,1397,1219
446,0,0,78,0,-78
447,1,0,43,0,-43
448,1,0,49,0,-49
449,0,0,16,0,-16
450,1,1,635,1519,884
451,1,1,214,1303,1089
452,1,1,149,1607,1458
453,1,1,62,3000,2938
454,1,1,222,1294,1072
455,1,0,37,0,-37
456,0,0,88,0,-88
457,0,0,3,0,-3
458,1,1,117,1252,1135
459,0,0,29,0,-29
460,1,1,384,1319,935
461,0,0,58,0,-58
462,0,0,9,0,-9
463,1,0,43,0,-43
464,0,0,21,0,-21
465,0,0,36,0,-36
466,0,0,147,0,-147
467,1,1,586,1217,631
468,1,0,5,0,-5
469,1,0,17,0,-17
470,1,1,120,1615,1495
471,0,0,62,0,-62
472,1,0,8,0,-8
473,1,1,1387,1410,23
474,1,1,497,1498,1001
475,0,0,78,0,-78
476,1,0,78,0,-78
477,0,0,20,0,-20
478,1,1,1649,1937,288
479,0,0,7,0,-7
480,1,1,513,1921,1408
481,0,0,0,0,0
482,1,1,1465,1587,122
483,1,1,134,1396,1262
484,1,0,2,0,-2
485,1,0,55,0,-55
486,0,0,23,0,-23
487,1,1,487,1437,950
488,0,0,51,0,-51
489,1,1,231,4156,3925
490,1,0,3,0,-3
491,1,1,1592,1264,-328
492,1,0,82,0,-82
493,0,0,54,0,-54
494,1,0,18,0,-18
495,1,0,34,0,-34
496,1,0,6,0,-6
497,1,1,1933,1776,-157
498,0,0,49,0,-49
499,0,0,257,0,-257
500,1,0,71,0,-71
501,1,0,17,0,-17
502,0,0,20,0,-20
503,1,0,39,0,-39
504,1,1,246,1660,1414
505,0,0,2,0,-2
506,1,0,263,0,-263
507,1,0,40,0,-40
508,0,0,43,0,-43
509,0,0,0,0,0
510,0,0,46,0,-46
511,1,1,98,1270,1172
512,1,1,497,1248,751
513,1,1,2329,1913,-416
514,0,0,91,0,-91
515,0,0,9,0,-9
516,0,0,63,0,-63
517,1,1,471,1247,776
518,1,0,0,0,0
519,0,0,10,0,-10
520,1,1,1117,1411,294
521,0,0,57,0,-57
522,1,1,221,1242,1021
523,1,1,323,1759,1436
524,1,1,298,2082,1784
525,0,0,21,0,-21
526,0,0,66,0,-66
527,1,0,16,0,-16
528,1,1,378,2192,1814
529,0,0,16,0,-16
530,0,0,64,0,-64
531,0,0,99,0,-99
532,0,0,54,0,-54
533,1,0,83,0,-83
534,0,0,79,0,-79
535,0,0,106,0,-106
536,1,1,435,1329,894
537,0,0,64,0,-64
538,1,0,0,0,0
539,1,1,848,1802,954
540,1,0,10,0,-10
541,0,0,22,0,-22
542,1,0,187,0,-187
543,0,0,90,0,-90
544,1,0,13,0,-13
545,1,1,394,1321,927
546,0,0,64,0,-64
547,1,0,42,0,-42
548,1,1,178,1323,1145
549,0,0,0,0,0
550,0,0,50,0,-50
551,1,1,49,1287,1238
552,1,0,15,0,-15
553,0,0,73,0,-73
554,0,0,11,0,-11
555,0,0,78,0,-78
556,1,1,207,1993,1786
557,1,1,706,1811,1105
558,1,1,260,1444,1184
559,0,0,55,0,-55
560,1,0,111,0,-111
561,1,1,1130,1708,578
562,1,1,706,1354,648
563,1,1,605,2578,1973
564,0,0,59,0,-59
565,1,1,260,1463,1203
566,1,1,105,3318,3213
567,1,0,80,0,-80
568,1,0,83,0,-83
569,0,0,8,0,-8
570,1,0,29,0,-29
571,0,0,67,0,-67
572,0,0,83,0,-83
573,1,1,653,1424,771
574,1,1,624,2498,1874
575,0,0,115,0,-115
576,1,0,119,0,-119
577,0,0,0,0,0
578,1,0,35,0,-35
579,0,0,44,0,-44
580,0,0,77,0,-77
581,0,0,6,0,-6
582,0,0,24,0,-24
583,1,1,697,1809,1112
584,1,0,27,0,-27
585,1,0,0,0,0
586,1,1,2551,2186,-365
587,1,0,25,0,-25
588,1,0,5,0,-5
589,0,0,46,0,-46
590,0,0,123,0,-123
591,1,0,71,0,-71
592,0,0,23,0,-23
593,1,0,26,0,-26
594,0,0,25,0,-25
595,1,1,1096,1333,237
596,0,0,0,0,0
597,0,0,114,0,-114
598,1,0,14,0,-14
599,1,0,29,0,-29
600,0,0,117,0,-117
601,0,0,38,0,-38
602,1,1,725,1394,669
603,0,0,75,0,-75
604,0,0,97,0,-97
605,1,0,16,0,-16
606,0,0,34,0,-34
607,0,0,38,0,-38
608,1,0,9,0,-9
609,1,0,10,0,-10
610,1,0,39,0,-39
611,1,0,30,0,-30
612,1,0,30,0,-30
613,0,0,90,0,-90
614,1,1,141,1323,1182
615,0,0,23,0,-23
616,1,1,361,1937,1576
617,1,1,993,8739,7746
618,1,1,255,1541,1286
619,1,0,38,0,-38
620,0,0,27,0,-27
621,1,0,6,0,-6
622,1,1,977,1515,538
623,0,0,36,0,-36
624,0,0,5,0,-5
625,0,0,163,0,-163
626,1,0,56,0,-56
627,0,0,94,0,-94
628,1,0,113,0,-113
629,1,1,192,2673,2481
630,1,0,2,0,-2
631,1,0,17,0,-17
632,1,0,23,0,-23
633,1,0,30,0,-30
634,1,1,260,1848,1588
635,0,0,30,0,-30
636,1,1,741,1369,628
637,1,1,1131,1504,373
638,1,0,15,0,-15
639,1,1,643,1326,683
640,0,0,24,0,-24
641,1,1,773,2882,2109
642,1,0,29,0,-29
643,1,0,103,0,-103
644,1,0,59,0,-59
645,1,0,38,0,-38
646,1,1,852,1205,353
647,1,1,246,2430,2184
648,1,0,21,0,-21
649,1,1,626,4996,4370
650,1,1,250,1518,1268
651,1,0,29,0,-29
652,0,0,11,0,-11
653,1,0,55,0,-55
654,0,0,29,0,-29
655,1,0,16,0,-16
656,0,0,27,0,-27
657,1,1,103,1393,1290
658,1,1,641,1369,728
659,1,1,597,1230,633
660,1,0,114,0,-114
661,0,0,10,0,-10
662,1,0,40,0,-40
663,1,1,252,1209,957
664,0,0,56,0,-56
665,0,0,16,0,-16
666,1,1,56,1781,1725
667,1,0,118,0,-118
668,0,0,57,0,-57
669,1,1,136,2085,1949
670,1,1,121,2638,2517
671,1,0,59,0,-59
672,1,0,11,0,-11
673,0,0,11,0,-11
674,0,0,52,0,-52
675,1,0,129,0,-129
676,0,0,51,0,-51
677,1,1,1151,1345,194
678,0,0,29,0,-29
679,0,0,98,0,-98
680,1,0,62,0,-62
681,1,1,324,2034,1710
682,0,0,73,0,-73
683,1,0,5,0,-5
684,1,1,179,1295,1116
685,0,0,62,0,-62
686,1,0,30,0,-30
687,1,0,8,0,-8
688,1,1,66,1537,1471
689,0,0,52,0,-52
690,0,0,127,0,-127
691,1,1,279,1561,1282
692,1,0,5,0,-5
693,1,1,286,1545,1259
694,1,1,185,1295,1110
695,0,0,5,0,-5
696,1,1,209,1324,1115
697,1,0,62,0,-62
698,0,0,84,0,-84
699,1,0,4,0,-4
700,0,0,15,0,-15
701,1,0,1,0,-1
702,0,0,19,0,-19
703,1,0,51,0,-51
704,0,0,55,0,-55
705,1,1,57,1371,1314
706,1,1,763,1217,454
707,1,0,220,0,-220
708,0,0,203,0,-203
709,0,0,15,0,-15
710,1,1,752,1394,642
711,1,1,554,1599,1045
712,0,0,7,0,-7
713,1,0,57,0,-57
714,1,0,81,0,-81
715,1,0,15,0,-15
716,1,0,18,0,-18
717,0,0,5,0,-5
718,0,0,8,0,-8
719,0,0,114,0,-114
720,1,0,116,0,-116
721,1,0,8,0,-8
722,0,0,69,0,-69
723,0,0,160,0,-160
724,1,0,183,0,-183
725,0,0,45,0,-45
726,1,0,78,0,-78
727,0,0,49,0,-49
728,1,0,22,0,-22
729,1,0,47,0,-47
730,1,1,325,1392,1067
731,1,0,124,0,-124
732,1,1,609,1283,674
733,1,0,48,0,-48
734,1,1,750,1850,1100
735,0,0,20,0,-20
736,1,0,50,0,-50
737,0,0,140,0,-140
738,1,0,42,0,-42
739,1,1,337,1641,1304
740,1,0,18,0,-18
741,0,0,97,0,-97
742,1,0,22,0,-22
743,1,0,7,0,-7
744,1,0,155,0,-155
745,1,0,9,0,-9
746,0,0,119,0,-119
747,0,0,1,0,-1
748,0,0,58,0,-58
749,0,0,18,0,-18
750,1,0,18,0,-18
751,1,0,188,0,-188
752,0,0,64,0,-64
753,1,0,1,0,-1
754,1,0,59,0,-59
755,1,0,148,0,-148
756,0,0,3,0,-3
757,1,0,61,0,-61
758,1,1,259,1289,1030
759,0,0,6,0,-6
760,0,0,65,0,-65
761,1,1,435,1315,880
762,1,0,17,0,-17
763,1,0,71,0,-71
764,0,0,28,0,-28
765,0,0,0,0,0
766,1,0,9,0,-9
767,0,0,30,0,-30
768,1,1,276,1203,927
769,1,0,43,0,-43
770,1,1,596,1504,908
771,1,0,24,0,-24
772,1,0,15,0,-15
773,1,1,436,1404,968
774,1,1,261,1255,994
775,0,0,199,0,-199
776,1,0,13,0,-13
777,0,0,141,0,-141
778,1,1,749,3354,2605
779,1,0,38,0,-38
780,0,0,1,0,-1
781,0,0,12,0,-12
782,0,0,116,0,-116
783,0,0,111,0,-111
784,1,0,18,0,-18
785,1,0,50,0,-50
786,0,0,5,0,-5
787,0,0,18,0,-18
788,0,0,30,0,-30
789,1,1,238,1208,970
790,1,0,25,0,-25
791,1,0,24,0,-24
792,1,1,700,1713,1013
793,0,0,45,0,-45
794,1,1,136,1301,1165
795,1,0,18,0,-18
796,1,1,105,1501,1396
797,1,1,107,1338,1231
798,1,1,538,1335,797
799,1,0,2,0,-2
800,1,1,763,1573,810
801,1,1,504,1491,987
802,0,0,75,0,-75
803,1,1,1047,1436,389
804,1,1,167,1374,1207
805,0,0,2,0,-2
806,1,1,388,1985,1597
807,0,0,43,0,-43
808,0,0,54,0,-54
809,1,1,498,1672,1174
810,1,0,20,0,-20
811,0,0,23,0,-23
812,1,0,15,0,-15
813,1,0,178,0,-178
814,1,0,98,0,-98
815,0,0,8,0,-8
816,0,0,20,0,-20
817,0,0,113,0,-113
818,1,0,37,0,-37
819,1,1,1209,1220,11
820,1,1,212,1237,1025
821,1,1,91,1245,1154
822,0,0,1,0,-1
823,0,0,48,0,-48
824,1,1,73,1557,1484
825,0,0,68,0,-68
826,1,0,39,0,-39
827,1,1,785,1210,425
828,1,0,92,0,-92
829,1,0,24,0,-24
830,0,0,79,0,-79
831,0,0,68,0,-68
832,0,0,84,0,-84
833,0,0,31,0,-31
834,1,1,205,1499,1294
835,1,0,10,0,-10
836,0,0,61,0,-61
837,1,1,683,1433,750
838,1,0,23,0,-23
839,0,0,29,0,-29
840,1,0,20,0,-20
841,1,0,38,0,-38
842,0,0,28,0,-28
843,1,1,750,1205,455
844,1,0,82,0,-82
845,1,1,2738,1396,-1342
846,0,0,7,0,-7
847,1,0,165,0,-165
848,1,1,324,1303,979
849,1,1,1409,1249,-160
850,0,0,85,0,-85
851,1,0,44,0,-44
852,0,0,25,0,-25
853,1,1,962,1484,522
854,1,0,64,0,-64
855,1,0,32,0,-32
856,0,0,4,0,-4
857,1,0,8,0,-8
858,1,0,21,0,-21
859,0,0,25,0,-25
860,0,0,7,0,-7
861,0,0,4,0,-4
862,0,0,151,0,-151
863,1,0,6,0,-6
864,1,0,6,0,-6
865,1,0,225,0,-225
866,0,0,79,0,-79
867,1,1,179,1331,1152
868,1,1,5,1627,1622
869,0,0,50,0,-50
870,0,0,16,0,-16
871,1,1,770,2098,1328
872,0,0,115,0,-115
873,0,0,0,0,0
874,0,0,80,0,-80
875,0,0,0,0,0
876,1,0,9,0,-9
877,0,0,26,0,-26
878,1,1,270,1730,1460
879,1,0,26,0,-26
880,1,1,557,2684,2127
881,1,1,272,1314,1042
882,1,0,0,0,0
883,0,0,17,0,-17
884,0,0,108,0,-108
885,1,0,8,0,-8
886,1,0,214,0,-214
887,1,0,57,0,-57
888,0,0,13,0,-13
889,1,0,230,0,-230
890,0,0,28,0,-28
891,0,0,54,0,-54
892,1,0,40,0,-40
893,1,1,373,1627,1254
894,1,1,278,1491,1213
895,0,0,21,0,-21
896,0,0,76,0,-76
897,1,0,29,0,-29
898,1,1,139,1345,1206
899,1,1,329,1240,911
900,1,1,645,1205,560
901,1,0,18,0,-18
902,0,0,2,0,-2
903,1,0,26,0,-26
904,1,1,535,1321,786
905,0,0,52,0,-52
906,0,0,19,0,-19
907,0,0,28,0,-28
908,1,0,12,0,-12
909,0,0,63,0,-63
910,1,0,43,0,-43
911,0,0,0,0,0
912,1,0,99,0,-99
913,1,1,1458,1580,122
914,1,1,11,3247,3236
915,1,1,200,1278,1078
916,0,0,161,0,-161
917,0,0,43,0,-43
918,0,0,6,0,-6
919,1,0,1,0,-1
920,1,0,153,0,-153
921,1,1,85,1634,1549
922,0,0,0,0,0
923,1,0,17,0,-17
924,1,0,51,0,-51
925,0,0,24,0,-24
926,1,1,1129,1416,287
927,0,0,48,0,-48
928,0,0,11,0,-11
929,0,0,5,0,-5
930,1,0,20,0,-20
931,0,0,26,0,-26
932,0,0,96,0,-96
933,1,0,34,0,-34
934,0,0,48,0,-48
935,1,0,8,0,-8
936,0,0,4,0,-4
937,1,0,171,0,-171
938,0,0,161,0,-161
939,1,0,21,0,-21
940,1,1,306,1363,1057
941,1,1,126,1328,1202
942,1,1,996,1429,433
943,0,0,7,0,-7
944,1,1,134,1405,1271
945,1,1,595,1396,801
946,1,0,0,0,0
947,1,0,24,0,-24
948,0,0,12,0,-12
949,0,0,49,0,-49
950,1,1,701,1219,518
951,0,0,38,0,-38
952,1,0,97,0,-97
953,0,0,3,0,-3
954,1,0,140,0,-140
955,1,1,583,1256,673
956,1,0,19,0,-19
957,1,1,112,1383,1271
958,1,1,315,1434,1119
959,1,0,34,0,-34
960,1,0,104,0,-104
961,0,0,67,0,-67
962,1,1,491,1426,935
963,1,0,51,0,-51
964,1,1,120,1342,1222
965,0,0,20,0,-20
966,0,0,0,0,0
967,0,0,35,0,-35
968,1,1,1357,1281,-76
969,1,0,41,0,-41
970,1,1,523,1419,896
971,1,1,1372,1233,-139
972,1,0,14,0,-14
973,0,0,47,0,-47
974,1,0,51,0,-51
975,1,0,119,0,-119
976,1,1,1512,1391,-121
977,1,0,52,0,-52
978,0,0,13,0,-13
979,1,0,40,0,-40
980,1,0,108,0,-108
981,1,1,234,1330,1096
982,1,1,115,1257,1142
983,1,0,60,0,-60
984,1,1,469,1561,1092
985,1,1,904,1488,584
986,1,1,1841,1564,-277
987,1,1,979,1419,440
988,0,0,39,0,-39
989,1,1,354,2012,1658
990,0,0,53,0,-53
991,0,0,109,0,-109
992,0,0,103,0,-103
993,1,1,1232,1528,296
994,1,1,376,2642,2266
